ano,mes,pag_idade,rec_idade,pag_id_regiao,rec_id_regiao,valor_transacao
2024,1,até 19 anos,até 19 anos,3,3,71.10577891265358
2024,1,até 19 anos,até 19 anos,3,3,42.11834409604403
2024,1,até 19 anos,até 19 anos,3,3,77.40517826420012
2024,1,até 19 anos,até 19 anos,3,3,41.49080498202167
2024,1,até 19 anos,até 19 anos,3,3,34.86260683211861
2024,1,até 19 anos,até 19 anos,3,3,34.98835327583279
2024,1,até 19 anos,até 19 anos,3,3,219.9108818015476
2024,1,até 19 anos,até 19 anos,3,3,80.89307929857495
2024,1,até 19 anos,até 19 anos,3,3,92.49914291893818
2024,1,até 19 anos,até 19 anos,3,3,35.810335454207305
2024,1,até 19 anos,até 19 anos,3,3,37.01856679369768
2024,1,até 19 anos,até 19 anos,3,3,193.68454757968536
2024,1,até 19 anos,até 19 anos,3,3,58.23337123242861
2024,1,até 19 anos,até 19 anos,3,3,40.99236414257967
2024,1,até 19 anos,até 19 anos,3,3,68.17137829295805
2024,1,até 19 anos,até 19 anos,3,3,63.865779088588205
2024,1,até 19 anos,até 19 anos,3,3,213.63140661413695
2024,1,até 19 anos,até 19 anos,3,3,219.66116663625095
2024,1,até 19 anos,até 19 anos,3,3,42.870925385725506
2024,1,até 19 anos,até 19 anos,3,3,161.50977062718738
2024,1,até 19 anos,até 19 anos,3,3,43.91451671167387
2024,1,até 19 anos,até 19 anos,3,3,219.86892501142398
2024,1,até 19 anos,até 19 anos,3,3,94.6716196034924
2024,1,até 19 anos,até 19 anos,3,3,148.6345296664577
2024,1,até 19 anos,até 19 anos,3,3,65.81039358639886
2024,1,até 19 anos,até 19 anos,3,3,153.74336185081978
2024,1,até 19 anos,até 19 anos,3,3,82.18910232602583
2024,1,até 19 anos,até 19 anos,3,3,86.7403554106819
2024,1,até 19 anos,até 19 anos,3,3,85.99493511720867
2024,1,até 19 anos,até 19 anos,3,3,122.81291830134708
2024,1,até 19 anos,até 19 anos,3,3,59.39712493956951
2024,1,até 19 anos,até 19 anos,3,3,55.53185506317214
2024,1,até 19 anos,até 19 anos,3,3,37.3789766393775
2024,1,até 19 anos,até 19 anos,3,3,87.20830877622839
2024,1,até 19 anos,até 19 anos,3,3,36.32016530311623
2024,1,até 19 anos,até 19 anos,3,3,153.29717296511052
2024,1,até 19 anos,até 19 anos,3,3,191.2542299302023
2024,1,até 19 anos,até 19 anos,3,3,76.1514259997357
2024,1,até 19 anos,até 19 anos,3,3,88.27937358373211
2024,1,até 19 anos,até 19 anos,3,3,36.66550658554835
2024,1,até 19 anos,até 19 anos,3,3,38.04118163123251
2024,1,até 19 anos,até 19 anos,3,3,34.79612878796406
2024,1,até 19 anos,até 19 anos,3,3,50.090010582721206
2024,1,até 19 anos,até 19 anos,3,3,156.1927353782939
2024,1,até 19 anos,até 19 anos,3,3,68.29214324543699
2024,1,até 19 anos,até 19 anos,3,3,52.152188128948815
2024,1,até 19 anos,até 19 anos,3,3,215.02666857281196
2024,1,até 19 anos,até 19 anos,3,3,37.64481486559348
2024,1,até 19 anos,até 19 anos,3,3,222.75803724974318
2024,1,até 19 anos,até 19 anos,3,3,64.40895585974762
2024,1,até 19 anos,até 19 anos,3,3,79.89940630091705
2024,1,até 19 anos,até 19 anos,3,3,36.6287777847952
2024,1,até 19 anos,até 19 anos,3,3,195.7706912374722
2024,1,até 19 anos,até 19 anos,3,3,84.41582426436806
2024,1,até 19 anos,até 19 anos,3,3,49.395503033645674
2024,1,até 19 anos,até 19 anos,3,3,67.88911749261351
2024,1,até 19 anos,até 19 anos,3,3,102.36722061559338
2024,1,até 19 anos,até 19 anos,3,3,36.61987440969404
2024,1,até 19 anos,até 19 anos,3,3,85.7396555860805
2024,1,até 19 anos,até 19 anos,3,3,83.28270454110677
2024,1,até 19 anos,até 19 anos,3,3,51.148405123782084
2024,1,até 19 anos,até 19 anos,3,3,79.7625839689117
2024,1,até 19 anos,até 19 anos,3,3,74.09297049689918
2024,1,até 19 anos,até 19 anos,3,3,51.27223170986069
2024,1,até 19 anos,até 19 anos,3,3,47.52693136776107
2024,1,até 19 anos,até 19 anos,3,3,70.21714495543556
2024,1,até 19 anos,até 19 anos,3,3,203.62245738142795
2024,1,até 19 anos,até 19 anos,3,3,206.95454520987965
2024,1,até 19 anos,até 19 anos,3,3,38.244488327423014
2024,1,até 19 anos,até 19 anos,3,3,68.53324586523688
2024,1,até 19 anos,até 19 anos,3,3,66.32178387972367
2024,1,até 19 anos,até 19 anos,3,3,60.55257636720171
2024,1,até 19 anos,até 19 anos,3,3,133.9165889348653
2024,1,até 19 anos,até 19 anos,3,3,220.86296694326495
2024,1,até 19 anos,até 19 anos,3,3,43.334142293190794
2024,1,até 19 anos,até 19 anos,3,3,54.13015963688409
2024,1,até 19 anos,até 19 anos,3,3,81.6962730816744
2024,1,até 19 anos,até 19 anos,3,3,159.9041358003397
2024,1,até 19 anos,até 19 anos,3,3,71.04494254972505
2024,1,até 19 anos,até 19 anos,3,3,74.37789472017039
2024,1,até 19 anos,até 19 anos,3,3,63.60521183209904
2024,1,até 19 anos,até 19 anos,3,3,66.39841718668967
2024,1,até 19 anos,até 19 anos,3,3,151.7927984460722
2024,1,até 19 anos,até 19 anos,3,3,59.62101161379039
2024,1,até 19 anos,até 19 anos,3,3,82.45219178894388
2024,1,até 19 anos,até 19 anos,3,3,73.27823103328006
2024,1,até 19 anos,até 19 anos,3,3,43.8584342673521
2024,1,até 19 anos,até 19 anos,3,3,158.6044613745833
2024,1,até 19 anos,até 19 anos,3,3,84.41920478116786
2024,1,até 19 anos,até 19 anos,3,3,45.30420940264377
2024,1,até 19 anos,até 19 anos,3,3,162.83824541175898
2024,1,até 19 anos,até 19 anos,3,3,33.31659839500691
2024,1,até 19 anos,até 19 anos,3,3,36.467988680394015
2024,1,até 19 anos,até 19 anos,3,3,82.40222040459479
2024,1,até 19 anos,até 19 anos,3,3,168.29858671230733
2024,1,até 19 anos,até 19 anos,3,3,102.7630476081715
2024,1,até 19 anos,até 19 anos,3,3,82.65512430499894
2024,1,até 19 anos,até 19 anos,3,3,39.22454721487982
2024,1,até 19 anos,até 19 anos,3,3,69.09689632393064
2024,1,até 19 anos,até 19 anos,3,3,46.53424050584529
2024,1,até 19 anos,até 19 anos,3,3,48.3498697904353
2024,1,até 19 anos,até 19 anos,3,3,82.76587518610583
2024,1,até 19 anos,até 19 anos,3,3,211.3508017400453
2024,1,até 19 anos,até 19 anos,3,3,174.78857775437845
2024,1,até 19 anos,até 19 anos,3,3,47.07660703700492
2024,1,até 19 anos,até 19 anos,3,3,91.83903074383612
2024,1,até 19 anos,até 19 anos,3,3,82.15226129984038
2024,1,até 19 anos,até 19 anos,3,3,43.939211998881795
2024,1,até 19 anos,até 19 anos,3,3,45.19549454340074
2024,1,até 19 anos,até 19 anos,3,3,62.52675638690695
